"기준일ID","시간대구분","자치구코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20240502","01","11440","409313.8817","12996.5901","6516.4144","9688.1799","15141.3172","17559.8581","16634.3385","19987.9922","17096.8235","18294.6874","14197.5103","12121.523","8753.2163","6320.8335","12612.2618","11237.6236","5458.1845","10990.0227","23756.0774","23168.2497","19917.5179","21941.4792","17616.358","18299.3223","14612.507","13313.2717","10440.6145","8286.4236","22354.6924"
"20240502","01","11470","385449.8001","17078.4664","12128.6202","13273.56","8644.5072","10793.1228","10657.4407","13619.8533","14567.1289","18871.8808","15134.1426","13840.3906","10592.1437","7595.2607","15841.4848","15400.4785","10492.3717","12386.9128","10541.7301","12098.7418","11848.8563","15466.8767","16727.1792","19364.1907","14977.882","15378.9472","12467.0595","10245.0075","25415.5718"
"20240502","01","11500","540586.5834","22012.2217","10038.477","12261.2871","12426.4161","20062.2534","22718.0517","26488.8983","23257.9805","23661.4451","18417.7377","17035.4619","13964.9505","10639.7653","22491.6414","20627.4353","9283.8803","12048.0288","16778.5702","25147.5986","25671.1741","26669.7211","22192.1892","22320.6836","18045.7283","18695.9878","17017.4413","14029.4909","36582.0578"
"20240502","01","11530","387480.1124","14841.1341","6549.1323","8260.2223","8640.5402","13870.1354","14911.2619","19089.7971","16425.2856","17922.9847","15003.8369","14629.8016","11591.0679","8284.9742","16464.1238","14721.6655","6367.4933","8399.2631","11857.5909","14775.0806","15994.8761","18438.9198","15062.0504","16400.0258","14345.1533","15485.1929","13536.2884","10140.8428","25471.3733"
"20240502","01","11545","202852.7647","5658.5786","2633.5604","3234.5097","5089.559","9842.588","10519.65","11125.603","9197.6204","8787.5129","8087.5537","8252.3897","6484.0297","4432.2124","8015.0345","5003.9725","2462.1768","3901.7231","6484.3427","10673.593","9246.21","9269.5117","7304.2976","7563.2006","7080.8743","8233.9912","6903.2721","5278.0762","12087.1183"
"20240502","01","11560","408654.7557","12704.4188","5647.8814","7929.8842","9580.7212","17524.9892","19585.3165","22874.0364","18251.1419","18771.0799","15615.4602","15190.7885","11496.5865","8054.1263","15313.8208","12483.014","5266.2443","7200.1931","14085.5724","21270.6724","20812.4858","21789.4644","16950.6665","16461.2408","14023.9049","14953.5383","12650.8163","9195.3622","22971.3277"
"20240502","01","11590","399482.9724","12603.3824","5986.7501","10564.0089","17629.3833","19625.0113","16000.7256","17150.6182","14540.5082","15783.6288","13935.7876","12818.6105","9576.0201","7189.5032","15702.0111","12571.3837","5897.2113","9960.8269","21563.7879","19973.491","16277.0328","17541.3993","14558.7913","15899.2677","13498.1725","14485.4061","12501.6919","9845.3142","25803.2486"
"20240502","01","11620","500679.0393","11217.3487","5394.2219","10635.0312","22431.9607","36379.1052","29009.0029","25086.768","18804.6207","19751.0432","16934.0509","14894.9411","11260.2278","8012.6312","17972.8588","10903.214","5219.3367","10510.2766","29036.5605","36823.1795","24926.1349","20624.2946","15826.7955","16645.9129","14431.5769","15463.2563","13208.1489","10967.4537","28309.0851"
"20240502","01","11650","454865.0053","21043.0539","11149.6041","14095.7456","11449.6331","13456.8579","14338.7957","19261.235","20194.4127","24720.6099","19138.6595","15320.5813","10245.081","7952.984","16356.1119","19763.7722","10557.3501","13123.5755","13321.4314","15364.5914","15960.6294","21943.119","21779.7154","24006.3589","17251.4859","14923.8253","11989.622","9891.9945","26264.1772"
"20240502","01","11680","661524.6859","28167.5143","18426.3482","24310.6934","15305.5509","20206.297","22559.1346","28882.8319","30787.7564","36632.8703","27599.4545","20762.9873","14393.26","10188.2925","22160.358","24956.5231","15925.5743","21053.8646","20034.4414","24163.8402","24573.8551","31560.7467","32852.5788","35590.5914","24347.2241","20336.4361","16038.5207","13659.4432","36047.6994"
